bin,n,selection_rate,mean_team_mean,arm,method,rho
0,350,0.002857142857142857,0.21747298714538013,rho_very_high,soft,32.0
1,350,0.002857142857142857,0.2515569085321419,rho_very_high,soft,32.0
2,350,0.005714285714285714,0.2752124320329598,rho_very_high,soft,32.0
3,350,0.002857142857142857,0.30704129774497685,rho_very_high,soft,32.0
4,350,0.002857142857142857,0.3378365493018754,rho_very_high,soft,32.0
5,350,0.011428571428571429,0.3777557179878022,rho_very_high,soft,32.0
6,350,0.02,0.40598784638539054,rho_very_high,soft,32.0
7,350,0.02,0.447218498937359,rho_very_high,soft,32.0
8,350,0.06857142857142857,0.5085362048985252,rho_very_high,soft,32.0
9,350,0.13714285714285715,0.5755922609249944,rho_very_high,soft,32.0
10,350,0.18857142857142858,0.6306777329698909,rho_very_high,soft,32.0
11,350,0.21428571428571427,0.6745738261930572,rho_very_high,soft,32.0
12,350,0.24285714285714285,0.703500428913272,rho_very_high,soft,32.0
13,350,0.24857142857142858,0.7289793495332115,rho_very_high,soft,32.0
14,350,0.23714285714285716,0.7552058935890024,rho_very_high,soft,32.0
15,350,0.19428571428571428,0.8031995064979837,rho_very_high,soft,32.0
